employee_id,first_name,last_name,age,gender,department,designation,salary,joining_date,experience,performance_score,city,status,department_id
EMP-2074,First_74,Last_74,23,M,Product,Consultant,113279,2023-05-12,3,1,San Francisco,Active,401
EMP-2075,First_75,Last_75,51,F,Sales,Consultant,90471,2023-05-12,7,3,Austin,Active,401
EMP-2076,First_76,Last_76,49,F,Engineering,Consultant,72729,2023-05-12,9,1,San Francisco,Active,401
EMP-2077,First_77,Last_77,51,M,Engineering,Consultant,114823,2023-05-12,9,3,San Francisco,Active,401
EMP-2078,First_78,Last_78,45,M,Product,Consultant,89222,2023-05-12,6,2,Chicago,Active,401
EMP-2079,First_79,Last_79,45,F,HR,Consultant,108773,2023-05-12,10,2,Austin,Active,401
EMP-2080,First_80,Last_80,48,F,Product,Consultant,103231,2023-05-12,11,3,Denver,Active,401
EMP-2081,First_81,Last_81,42,M,Marketing,Consultant,79162,2023-05-12,6,4,New York,Active,401
EMP-2082,First_82,Last_82,43,F,Engineering,Consultant,99827,2023-05-12,9,4,San Francisco,Active,401
EMP-2083,First_83,Last_83,35,M,Sales,Consultant,58032,2023-05-12,5,2,Austin,Active,401
EMP-2084,First_84,Last_84,27,M,Product,Consultant,69478,2023-05-12,5,3,Chicago,Active,401
EMP-2085,First_85,Last_85,52,F,Product,Consultant,89778,2023-05-12,5,3,New York,Active,401
EMP-2086,First_86,Last_86,35,M,Marketing,Consultant,104099,2023-05-12,4,1,San Francisco,Active,401
EMP-2087,First_87,Last_87,23,M,Marketing,Consultant,101333,2023-05-12,8,3,New York,Active,401
EMP-2088,First_88,Last_88,33,M,Engineering,Consultant,57407,2023-05-12,3,3,Denver,Active,401
EMP-2089,First_89,Last_89,47,M,HR,Consultant,116520,2023-05-12,11,1,New York,Active,401
EMP-2090,First_90,Last_90,27,M,Sales,Consultant,118623,2023-05-12,1,1,Chicago,Active,401
EMP-2091,First_91,Last_91,40,M,Sales,Consultant,114913,2023-05-12,2,1,San Francisco,Active,401
EMP-2092,First_92,Last_92,54,M,Marketing,Consultant,96761,2023-05-12,11,1,Denver,Active,401
EMP-2093,First_93,Last_93,30,M,Marketing,Consultant,134490,2023-05-12,7,1,Denver,Active,401
EMP-2094,First_94,Last_94,41,M,HR,Consultant,108648,2023-05-12,1,1,Denver,Active,401
EMP-2095,First_95,Last_95,49,F,Marketing,Consultant,130690,2023-05-12,4,2,San Francisco,Active,401
EMP-2096,First_96,Last_96,28,F,Engineering,Consultant,119468,2023-05-12,10,4,Austin,Active,401
EMP-2097,First_97,Last_97,31,M,Marketing,Consultant,102363,2023-05-12,5,2,Austin,Active,401
EMP-2098,First_98,Last_98,44,F,Product,Consultant,62627,2023-05-12,2,1,New York,Active,401
EMP-2099,First_99,Last_99,34,F,Product,Consultant,110351,2023-05-12,9,1,Austin,Active,401
EMP-2100,First_100,Last_100,39,M,Product,Consultant,73849,2023-05-12,2,3,Austin,Active,401
EMP-2101,First_101,Last_101,29,M,Product,Consultant,128732,2023-05-12,7,3,Denver,Active,401
EMP-2102,First_102,Last_102,54,M,Marketing,Consultant,75898,2023-05-12,2,3,New York,Active,401
EMP-2103,First_103,Last_103,31,M,Engineering,Consultant,114943,2023-05-12,4,3,San Francisco,Active,401
EMP-2104,First_104,Last_104,39,M,Sales,Consultant,90330,2023-05-12,9,2,San Francisco,Active,401
